replicate,delta_rank
0,0.052684354758345785
1,0.04539113104135525
2,0.05381321624314898
3,0.045324177877429
4,0.046221038863976084
5,0.051326606875934225
6,0.06153774289985052
7,0.05274196562032885
8,0.04508439212755356
9,0.05179060787244644
10,0.05730723716990532
11,0.04997820129546586
12,0.052961509715994025
13,0.04357405331340308
14,0.0544111235675137
15,0.052337132536123564
16,0.048347969606377675
17,0.04714592675635276
18,0.04508906327852516
19,0.04325174389636272
20,0.045577977080219226
21,0.059611671649227704
22,0.04696842301943199
23,0.056872820129546586
24,0.05666106128550075
25,0.04615097159940209
26,0.0617012331838565
27,0.04273947433981066
28,0.04329534130543099
29,0.05455904334828102
30,0.059985363726955655
31,0.04322683109118086
32,0.06659815645241654
33,0.059929309915296464
34,0.0486531514698555
35,0.043324925261584456
36,0.050048268560039855
37,0.06314617588440459
38,0.048027217239661184
39,0.05522546088689586
40,0.041828599900348776
41,0.05554309915296462
42,0.054186908320876935
43,0.05555555555555555
44,0.0520662057797708
45,0.05360145739910314
46,0.0497119456900847
47,0.06780487045341305
48,0.06313683358246139
49,0.04777653213751869
50,0.056706215744892874
51,0.06479197807673144
52,0.05137643248629796
53,0.06006010214250124
54,0.05210513203786746
55,0.04505480817140009
56,0.05807797708021924
57,0.06222284504235177
58,0.060223592426507225
59,0.05624688589935226
60,0.055005916791230694
61,0.04493491529646238
62,0.06768342052815146
63,0.05186223218734429
64,0.05408881415047334
65,0.06259809417040359
66,0.04088347035376183
67,0.05274352267065271
68,0.06319755854509218
69,0.04603730692575984
70,0.053532947184853005
71,0.05280580468360737
72,0.049467488789237665
73,0.058172957149975085
74,0.033386273044344786
75,0.05623287244643747
76,0.06262923517688092
77,0.04389480568011958
78,0.05541697807673143
79,0.05875685102142501
80,0.031189275037369207
81,0.044751183358246134
82,0.05790981564524165
83,0.062070254110612864
84,0.053976706527154944
85,0.04456589436970603
86,0.05253332087693074
87,0.0462895490782262
88,0.043186347782760336
89,0.05645241654210264
90,0.04325174389636272
91,0.04151718983557549
92,0.054109055804683594
93,0.04716461136023916
94,0.039245453413054306
95,0.04922147483806676
96,0.047259591429995015
97,0.0491918908819133
98,0.05578288490284006
99,0.05137176133532635
100,0.058258594917787745
101,0.04526033881415047
102,0.04893809167912307
103,0.06232872446437468
104,0.05499190333831589
105,0.04992370453413054
106,0.058865844544095665
107,0.041973405580468366
108,0.05853263577478824
109,0.045557735426008966
110,0.047910438465371206
111,0.045616903338315896
112,0.041272732934728454
113,0.04168223716990532
114,0.04782168659691081
115,0.04832461385151968
116,0.049895677628300945
117,0.0421711509715994
118,0.06871574489287494
119,0.05879577727952166
120,0.0624439461883408
121,0.05484554060787244
122,0.0449847409068261
123,0.05253643497757847
124,0.05879577727952166
125,0.05237294469357249
126,0.047952478824115595
127,0.05615813403089187
128,0.036612481315396114
129,0.059670839561534635
130,0.04497695565520677
131,0.048534815645241654
132,0.055722159940209265
133,0.05145895615346288
134,0.038115034877927244
135,0.05555244145490782
136,0.052003923766816146
137,0.05319351021425012
138,0.050929559043348276
139,0.05146674140508221
140,0.048447620827105124
141,0.04320503238664674
142,0.045084392127553566
143,0.06870640259093173
144,0.062023542600896854
145,0.04117152466367712
146,0.055589810662680615
147,0.05158352017937219
148,0.053564088191330336
149,0.05125498256103637
150,0.06401345291479821
151,0.03588533881415047
152,0.050794095665171894
153,0.049332025411061284
154,0.05331184603886397
155,0.06072496263079223
156,0.05054185351270553
157,0.04326108619830593
158,0.05211758844045839
159,0.05198368211260587
160,0.046857872446437465
161,0.04844606377678126
162,0.05870391131041354
163,0.047550759840558045
164,0.055880979073243645
165,0.0465869456900847
166,0.054758345789735915
167,0.060865097159940214
168,0.05798766816143497
169,0.05696001494768311
170,0.039911870951669155
171,0.047343672147483806
172,0.04160594170403587
173,0.04154833084205281
174,0.049224588938714495
175,0.053455094668659685
176,0.057235612855007466
177,0.053302503736920775
178,0.0440146985550573
179,0.06395584205281515
180,0.044676444942700545
181,0.049735301444942696
182,0.04678936223218735
183,0.04713347035376183
184,0.04575236671649227
185,0.04777808918784255
186,0.05327603388141505
187,0.052528649725959144
188,0.031897732934728446
189,0.05528462879920278
190,0.051731439960139514
191,0.03947278276033881
192,0.053596786248131544
193,0.04124470602889885
194,0.054582399103139015
195,0.04596412556053812
196,0.042660064773293475
197,0.04971817389138017
198,0.04876837319382162
199,0.05624844294967613
200,0.05447029147982062
201,0.046420341305431
202,0.04131633034379671
203,0.053409940209267565
204,0.04795403587443945
205,0.044084765819631284
206,0.054096599402092674
207,0.04396954409566517
208,0.058196312904833084
209,0.059687967115097156
210,0.0519961385151968
211,0.04071063776781265
212,0.05432548579970105
213,0.06081682859990035
214,0.05278712007972097
215,0.04918099152964623
216,0.05343641006477329
217,0.04950174389636273
218,0.04763951170901843
219,0.046784691081215746
220,0.04594699800697559
221,0.06036061285500747
222,0.04455655206776282
223,0.05584360986547084
224,0.057030082212257104
225,0.05237138764324862
226,0.04960762331838565
227,0.03309199053313403
228,0.047821686596910815
229,0.04023573741903338
230,0.044195316392625805
231,0.05107125062282012
232,0.04592519930244145
233,0.06290483308420529
234,0.03952572247135027
235,0.06233962381664175
236,0.03925946686596911
237,0.056821437468858996
238,0.059502678126557046
239,0.04519338565022422
240,0.06480443447932237
241,0.04519027154957648
242,0.041341243148978565
243,0.04567607125062282
244,0.05531732685600398
245,0.05285251619332336
246,0.061872508719481814
247,0.059346973094170405
248,0.06044469357249626
249,0.05233246138515197
250,0.05037369207772795
251,0.049839623816641754
252,0.04952821375186845
253,0.040048891380169406
254,0.05241187095166916
255,0.05030518186347783
256,0.05644930244145491
257,0.04357249626307921
258,0.058417414050822125
259,0.04317544843049328
260,0.059175697558545085
261,0.04536466118584953
262,0.05162088938714499
263,0.057157760338814145
264,0.04741996761335326
265,0.06307143746885899
266,0.05123785500747384
267,0.06250622820129548
268,0.04736079970104634
269,0.053864598903836575
270,0.034026220727453906
271,0.04284223966118584
272,0.04849121823617339
273,0.05663303437967115
274,0.056715558046836076
275,0.04782324364723468
276,0.04518715744892875
277,0.05282604633781764
278,0.058369145490782266
279,0.046477952167414044
280,0.05456527154957648
281,0.061210762331838565
282,0.05014480568011958
283,0.042628923766816144
284,0.04012830094668659
285,0.048432050323866466
286,0.04966990533134031
287,0.0507333707025411
288,0.04753518933731937
289,0.05933607374190334
290,0.04721910812157448
291,0.0682065894369706
292,0.05072714250124564
293,0.051416915794718486
294,0.04555773542600897
295,0.044436659192825106
296,0.0455748629795715
297,0.054211821126058796
298,0.04525255356253114
299,0.04926662929745888
300,0.05759684853014449
301,0.05562562282012955
302,0.05458707025411061
303,0.053322745391131035
304,0.0593936846038864
305,0.05083302192326856
306,0.05429278774289985
307,0.056636148480318886
308,0.050769182859990034
309,0.04528058046836073
310,0.043334267563527644
311,0.04992059043348281
312,0.05600087194818136
313,0.056357436472346784
314,0.05945285251619332
315,0.049791355256601895
316,0.06346692825112107
317,0.04641878425510712
318,0.055329783258594924
319,0.043804496761335326
320,0.05035500747384155
321,0.057508096661684105
322,0.047739162929745886
323,0.05402341803687095
324,0.05701918285999004
325,0.03651438714499253
326,0.05920061036372695
327,0.051840433482810165
328,0.053224651220727455
329,0.05161933233682112
