clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4
L100162,Acid,2,0,0.4723002644704608,0.3123280499487586,0.37200034893707046,0.6195986035498704,0.25362329462809524
L100162,Cisplatin,2,0,0.20261025237344546,0.08889650017663632,0.37200034893707046,0.2903138541297287,0.06713002256245197
L100162,CoCl2,2,0,0.22668291955083833,0.10414634088636009,0.37200034893707046,0.3227080127013291,0.07910114757259658
L100162,Dabrafenib,2,0,0.22668291955083833,0.10414634088636013,0.37200034893707046,0.3227080127013293,0.07910114757259658
L100162,Doxorubicin,2,0,0.2819646373115759,0.14279558489371302,0.37200034893707046,0.3950368763686877,0.11017197560440213
L100162,Trametinib,2,0,0.19458603455920903,0.08401992822152263,0.37200034893707046,0.2794009166227346,0.06334342959914177
L100615,Acid,0,0,0.4736194759800148,0.6303847650381779,0.3135713328376651,0.546064808104734,0.6082155338505646
L100615,Cisplatin,0,0,0.18583642087064267,0.24285236810136374,0.3135713328376651,0.21523614857558251,0.21936211952472015
L100615,CoCl2,0,0,0.22867007436383363,0.30580399285362186,0.3135713328376651,0.2656890703883256,0.2796902768446109
L100615,Dabrafenib,0,0,0.24473499838108828,0.3293891716958623,0.3135713328376651,0.28466131955308405,0.30265100838155773
L100615,Doxorubicin,0,1,0.2866788719209133,0.3899771015393171,0.3135713328376651,0.33422117029577186,0.3628469286842952
L100615,Trametinib,0,0,0.20368386704128424,0.2690947079774682,0.3135713328376651,0.23622447394927906,0.2442905439764614
L100688,Acid,1,1,0.47587273821028014,0.4158230698941236,0.28905448474037165,0.5169155230544447,0.4160802601161648
L100688,Cisplatin,1,0,0.19458719593808257,0.12783116011857792,0.28905448474037165,0.2026188568414608,0.11954461854680679
L100688,CoCl2,1,0,0.23560044533301658,0.16441393610034288,0.28905448474037165,0.24776061342840391,0.15531627640892937
L100688,Dabrafenib,1,1,0.23203384804524899,0.16111678970316778,0.28905448474037165,0.24380310468495042,0.1520678577113451
L100688,Doxorubicin,1,0,0.29979943088858513,0.2270276463322885,0.28905448474037165,0.319878675454928,0.21801699666486005
L100688,Trametinib,1,1,0.19726215106258552,0.1301330671248022,0.28905448474037165,0.20553695246600365,0.12176991668944916
L100742,Acid,0,0,0.4736194759800148,0.28466937869202136,0.07435493701036891,0.16230006023819243,0.28775638494041345
L100742,Cisplatin,0,0,0.18583642087064267,0.06962987611271007,0.07435493701036891,0.04230421676933357,0.06814682262438362
L100742,CoCl2,0,0,0.22867007436383363,0.09320675900005541,0.07435493701036891,0.0550649820352911,0.09177754490484093
L100742,Dabrafenib,0,0,0.24473499838108828,0.10282400034002308,0.07435493701036891,0.060230693913557856,0.10148532179923564
L100742,Doxorubicin,0,0,0.2866788719209133,0.1298040178991264,0.07435493701036891,0.07480284632140767,0.12907613967194603
L100742,Trametinib,0,0,0.20368386704128424,0.07910975095779173,0.07435493701036891,0.047449019478992376,0.07759925538810172
L100814,Acid,0,1,0.4736194759800148,0.8794454425867445,0.3409578995079015,0.5779734208292739,0.8793161778977414
L100814,Cisplatin,0,1,0.18583642087064267,0.5784019748394237,0.3409578995079015,0.23794653809854255,0.5687530626230718
L100814,CoCl2,0,0,0.22867007436383363,0.6532852136396639,0.3409578995079015,0.2917438829972519,0.6456916611997434
L100814,Dabrafenib,0,1,0.24473499838108828,0.6775143888654733,0.3409578995079015,0.3117866766865197,0.6707208933899956
L100814,Doxorubicin,0,1,0.2866788719209133,0.7322195235188256,0.3409578995079015,0.3636682012290336,0.7277276711299713
L100814,Trametinib,0,1,0.20368386704128424,0.6116137944563584,0.3409578995079015,0.2604145470897584,0.602730261575966
L101216,Acid,1,1,0.47587273821028014,0.4172781131200817,0.23354746247873442,0.44101819954535365,0.31837791182229164
