clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4
L100615,Doxorubicin,0,0.6931471805599453,1.0906169960232415,1.1559256838623517,1.3317283863108194,1.1658358588562903,1.0779544310178166
L100688,Acid,1,1.0986122886681098,1.4447324299693032,1.2332360824050952,1.280592803149146,1.4658642241824356,1.2971751200952641
L100688,Dabrafenib,1,1.0986122886681098,1.3466064801566926,1.1661393903665755,1.280592803149146,1.3291410863539916,1.1312057531657576
L100688,Trametinib,1,1.791759469228055,1.4489731040578087,1.2768368661786287,1.280592803149146,1.4245498073605947,1.232599992389174
L100814,Acid,0,3.2188758248682006,1.4276384785961345,2.051190934573138,1.318477108259227,1.4705995635399414,2.1797248683952266
L100814,Cisplatin,0,1.3862943611198906,0.9726711059332541,1.552378586318856,1.318477108259227,1.015407562082002,1.7212050240216805
L100814,Dabrafenib,0,2.302585092994046,1.3293740847986915,1.96608141465114,1.318477108259227,1.3633539201244842,2.049630369017611
L100814,Doxorubicin,0,2.3978952727983707,1.0906169960232415,1.6900891381669396,1.318477108259227,1.1614422319290327,1.8189818206298591
L100814,Trametinib,0,1.3862943611198906,1.4533565151718433,2.109399474821699,1.318477108259227,1.4782296274145934,2.170004550893153
L101216,Acid,1,0.6931471805599453,1.4447324299693032,1.2529212641580405,1.3932418806879885,1.5542749987060671,1.2674594504832966
L101216,Doxorubicin,1,0.6931471805599453,1.0695168105300787,0.8929264534181665,1.3932418806879885,1.2061017623076866,0.8748028635739737
L101260,Acid,4,0.6931471805599453,1.4591012200707234,1.4354130042465354,1.213032645439487,1.4038155950979434,1.6038248179596026
L101260,Dabrafenib,4,1.0986122886681098,1.315199596110756,1.3329227106598207,1.213032645439487,1.2332094458993694,1.3614348509844767
L101260,Doxorubicin,4,0.6931471805599453,1.104008862881897,1.1021401995511677,1.213032645439487,1.0791759509517407,1.2477235117640468
L101260,Trametinib,4,1.0986122886681098,1.39400845125062,1.4154511934471863,1.213032645439487,1.3144518096926925,1.459366983089938
L102089,Acid,0,1.3862943611198906,1.4276384785961345,1.1375271662912814,1.2245707314765504,1.3636793258080717,1.1326818860827248
L102089,Doxorubicin,0,0.6931471805599453,1.0906169960232415,0.7764253698850829,1.2245707314765504,1.054521994197163,0.7719388383173573
L102444,Acid,2,1.3862943611198906,1.4245281818738489,1.5329552166811091,1.23746254068881,1.4100559382013775,1.5423196172093532
L102444,CoCl2,2,1.3862943611198906,1.070769265548892,1.0929405902671843,1.23746254068881,1.0868972637773024,1.1016483640052286
L102484,Acid,2,2.1972245773362196,1.4245281818738489,1.1470784836126513,1.0760214832078625,1.2582104250953876,1.1618113998902415
L102484,Dabrafenib,2,1.791759469228055,1.272899240139292,1.0105356918907733,1.0760214832078625,1.1135240014573102,0.9693928760588817
L102484,Trametinib,2,0.6931471805599453,1.3613179452904967,1.1117292685943543,1.0760214832078625,1.1992095206929139,1.0632517503636525
L10299,Acid,3,2.8903717578961645,1.4294052202142031,1.95963715968222,1.3190721304736193,1.4819696947066094,1.9569494125323859
L10299,Cisplatin,3,1.6094379124341003,0.9434888376032666,1.4593304090231307,1.3190721304736193,1.0051704758613307,1.4497991347293784
L10299,CoCl2,3,1.0986122886681098,1.1229493612824308,1.5929368630208094,1.3190721304736193,1.2125828977808462,1.5789070981495366
L10299,Doxorubicin,3,0.6931471805599453,1.059425212089834,1.6166165709714841,1.3190721304736193,1.1417850520711326,1.5897283428066946
L103561,Dabrafenib,1,0.6931471805599453,1.3466064801566926,1.26415612922121,1.1775468385873242,1.2276640254303919,1.1161565072391033
L103561,Trametinib,1,2.0794415416798357,1.4489731040578087,1.374853605033263,1.1775468385873242,1.323072746436995,1.2175507464625195
L104099,Acid,4,2.70805020110221,1.4591012200707234,2.0368100317929754,1.1739051749818024,1.378358677280064,2.112874428003233
L104099,Cisplatin,4,1.3862943611198906,0.9536217875497237,1.508507108727996,1.1739051749818024,0.8792680281325996,1.5701976323508078
L104099,CoCl2,4,0.6931471805599453,1.1105827756120363,1.6293468960458535,1.1739051749818024,1.0521315073853152,1.6974605378589704
L104099,Dabrafenib,4,2.0794415416798357,1.315199596110756,1.934319738206261,1.1739051749818024,1.20775252808149,1.870484461028107
L104099,Doxorubicin,4,3.1780538303479458,1.104008862881897,1.703537227097608,1.1739051749818024,1.053719033133861,1.7567731218076774
L104099,Trametinib,4,1.6094379124341003,1.39400845125062,2.0168482209936265,1.1739051749818024,1.288994891874813,1.9684165931335686
L10419,Acid,2,2.0794415416798357,1.4245281818738489,1.6001742160062424,1.2980407255237836,1.466327497961547,1.6493522885483842
L10419,CoCl2,2,0.6931471805599453,1.070769265548892,1.1601595895923176,1.2980407255237836,1.1431688235374722,1.2086810353442596
L10419,Doxorubicin,2,0.6931471805599453,1.1003288977324217,1.2620137452596798,1.2980407255237836,1.1820906711930124,1.298198064726043
L104690,Acid,4,1.6094379124341003,1.4591012200707234,1.5992415016570938,1.3770814963960625,1.5419410066904133,1.635099687809292
L104690,Doxorubicin,4,1.0986122886681098,1.104008862881897,1.265968696961726,1.3770814963960625,1.2173013625442106,1.2789983816137365
L104947,Acid,4,1.3862943611198906,1.4591012200707234,1.6236667762826735,1.2596699580420647,1.4457088052319207,1.7828700897133984
