ACTUAL_rna_age_covnorm,ACTUAL_rna_age_ranknorm,ACTUAL_rna_age_raw,ACTUAL_rna_age_resid_both,ACTUAL_rna_age_resid_cc,ACTUAL_rna_age_resid_pluri,ACTUAL_rna_age_top100,ACTUAL_rna_age_top2000,ACTUAL_rna_age_top500,ACTUAL_rna_dage_covnorm,ACTUAL_rna_dage_ranknorm,ACTUAL_rna_dage_raw,ACTUAL_rna_dage_resid_both,ACTUAL_rna_dage_resid_cc,ACTUAL_rna_dage_resid_pluri,ACTUAL_rna_dage_top100,ACTUAL_rna_dage_top2000,ACTUAL_rna_dage_top500,ERROR_covnorm_mt,ERROR_covnorm_sb,ERROR_ranknorm_mt,ERROR_ranknorm_sb,ERROR_raw_mt,ERROR_raw_sb,ERROR_resid_both_mt,ERROR_resid_both_sb,ERROR_resid_cc_mt,ERROR_resid_cc_sb,ERROR_resid_pluri_mt,ERROR_resid_pluri_sb,ERROR_top100_mt,ERROR_top100_sb,ERROR_top2000_mt,ERROR_top2000_sb,ERROR_top500_mt,ERROR_top500_sb,TRUTH_meth_age_mt,TRUTH_meth_age_sb,TRUTH_meth_dage_mt,TRUTH_meth_dage_sb,arm_set,condition,day,donor,is_control,n_replicates
115.006,145.495,110.393,9.968,19.053,10.071,92.611,100.688,114.153,-5.759,-4.829,-5.135,-3.846,-5.826,-3.631,2.129,-1.24,1.682,-8.017,-5.678,-7.087,-4.748,-7.393,-5.054,-6.105,-3.765,-8.084,-5.745,-5.889,-3.55,-0.13,2.209,-3.499,-1.159,-0.576,1.763,43.76,43.556,2.258,-0.081,transient,failed_to_transiently_reprogram,10,O3,False,1
106.004,146.036,102.367,2.928,12.015,2.733,89.966,93.541,109.2,-14.728,-5.227,-13.132,-11.288,-13.812,-11.074,0.181,-9.151,-4.934,-16.572,-14.936,-7.07,-5.435,-14.976,-13.34,-13.131,-11.496,-15.655,-14.019,-12.918,-11.282,-1.662,-0.027,-10.994,-9.359,-6.777,-5.141,40.727,43.833,1.843,0.208,transient,failed_to_transiently_reprogram,13,O3,False,2
103.829,144.882,100.427,0.564,10.152,0.344,90.412,91.807,107.993,-12.022,-4.822,-10.72,-9.335,-11.738,-9.019,1.417,-6.834,-3.889,-12.57,-4.818,-5.37,2.382,-11.268,-3.516,-9.883,-2.131,-12.286,-4.535,-9.567,-1.816,0.869,8.62,-7.382,0.37,-4.437,3.315,43.681,34.819,0.548,-7.204,transient,failed_to_transiently_reprogram,15,O3,False,2
99.525,146.792,96.59,-2.747,5.548,-2.732,87.702,87.795,104.755,-19.425,-4.245,-17.32,-15.001,-17.67,-14.886,-0.446,-12.874,-7.449,-19.197,-12.715,-4.017,2.465,-17.092,-10.61,-14.773,-8.291,-17.442,-10.96,-14.658,-8.176,-0.218,6.264,-12.646,-6.164,-7.221,-0.739,43.921,37.109,-0.228,-6.71,transient,failed_to_transiently_reprogram,17,O3,False,2
76.925,148.851,76.438,1.869,-16.051,2.412,71.633,61.754,80.44,-43.84,-1.473,-39.09,-11.944,-40.929,-11.29,-18.849,-40.174,-32.03,-42.52,-46.601,-0.153,-4.233,-37.77,-41.85,-10.624,-14.705,-39.609,-43.689,-9.97,-14.05,-17.529,-21.61,-38.854,-42.935,-30.71,-34.791,40.181,46.397,-1.32,2.76,transient,failing_to_transiently_reprogram_intermediate,10,O3,False,1
82.404,150.163,81.323,10.573,-10.0,10.773,69.461,66.733,85.21,-38.328,-1.099,-34.176,-3.643,-35.827,-3.034,-20.324,-35.959,-28.923,-32.567,-39.304,4.662,-2.075,-28.414,-35.151,2.118,-4.619,-30.066,-36.803,2.728,-4.009,-14.562,-21.299,-30.197,-36.934,-23.162,-29.899,33.122,44.601,-5.761,0.976,transient,failing_to_transiently_reprogram_intermediate,13,O3,False,1
87.268,150.315,85.661,14.098,-5.493,14.244,74.282,72.16,91.898,-28.583,0.611,-25.486,4.199,-27.384,4.881,-14.714,-26.481,-19.985,-23.732,-30.762,5.462,-1.568,-20.635,-27.665,9.05,2.019,-22.533,-29.564,9.731,2.701,-9.863,-16.894,-21.631,-28.661,-15.134,-22.164,38.282,44.202,-4.851,2.18,transient,failing_to_transiently_reprogram_intermediate,15,O3,False,1
85.327,150.06,83.93,17.299,-6.621,17.277,75.236,71.982,94.057,-33.623,-0.978,-29.98,5.045,-29.838,5.123,-12.911,-28.687,-18.147,-28.999,-36.265,3.646,-3.62,-25.356,-32.622,9.67,2.404,-25.214,-32.48,9.747,2.481,-8.287,-15.553,-24.063,-31.329,-13.523,-20.789,39.525,46.46,-4.624,2.642,transient,failing_to_transiently_reprogram_intermediate,17,O3,False,1
123.421,145.824,117.897,17.389,26.88,17.393,93.943,107.297,116.192,2.657,-4.5,2.369,3.575,2.002,3.691,3.461,5.369,3.722,1.705,2.951,-5.452,-4.206,1.417,2.663,2.623,3.87,1.05,2.296,2.739,3.986,2.509,3.756,4.417,5.664,2.77,4.016,42.453,43.342,0.952,-0.295,transient,negative_control,10,O3,True,1
114.137,145.248,109.619,8.841,19.083,8.697,92.274,100.045,112.07,-6.595,-6.015,-5.88,-5.375,-6.744,-5.11,2.489,-2.647,-2.064,-8.483,-5.782,-7.903,-5.201,-7.768,-5.067,-7.263,-4.562,-8.632,-5.931,-6.998,-4.297,0.601,3.302,-4.535,-1.834,-3.952,-1.251,40.771,42.812,1.888,-0.813,transient,negative_control,13,O3,True,2
108.932,143.401,104.978,4.523,15.752,3.981,93.304,96.46,109.896,-6.919,-6.303,-6.169,-5.376,-6.139,-5.382,4.308,-2.181,-1.987,-8.239,-4.845,-7.623,-4.228,-7.49,-4.095,-6.696,-3.302,-7.459,-4.065,-6.703,-3.308,2.988,6.382,-3.501,-0.107,-3.307,0.087,44.453,39.948,1.32,-2.074,transient,negative_control,15,O3,True,2
113.888,145.918,109.396,8.665,18.517,8.626,92.652,98.888,110.416,-5.062,-5.12,-4.514,-3.588,-4.7,-3.528,4.505,-1.782,-1.788,-5.369,-3.954,-5.426,-4.012,-4.82,-3.406,-3.895,-2.481,-5.007,-3.593,-3.835,-2.42,4.198,5.612,-2.088,-0.674,-2.095,-0.681,44.456,42.711,0.307,-1.108,transient,negative_control,17,O3,True,2
118.108,154.824,113.159,10.239,22.876,10.011,87.021,96.559,108.749,-2.657,4.5,-2.369,-3.575,-2.002,-3.691,-3.461,-5.369,-3.722,-1.705,-2.951,5.452,4.206,-1.417,-2.663,-2.623,-3.87,-1.05,-2.296,-2.739,-3.986,-2.509,-3.756,-4.417,-5.664,-2.77,-4.016,40.55,43.932,-0.952,0.295,transient,negative_control_intermediate,10,O3,True,1
127.327,157.277,121.379,19.591,32.571,18.917,87.296,105.339,116.198,6.595,6.015,5.88,5.375,6.744,5.11,-2.489,2.647,2.064,8.483,5.782,7.903,5.201,7.768,5.067,7.263,4.562,8.632,5.931,6.998,4.297,-0.601,-3.302,4.535,1.834,3.952,1.251,36.995,44.439,-1.888,0.813,transient,negative_control_intermediate,13,O3,True,1
122.77,156.006,117.316,15.275,28.03,14.746,84.687,100.822,113.869,6.919,6.303,6.169,5.376,6.139,5.382,-4.308,2.181,1.987,8.239,4.845,7.623,4.228,7.49,4.095,6.696,3.302,7.459,4.065,6.703,3.308,-2.988,-6.382,3.501,0.107,3.307,-0.087,41.813,44.096,-1.32,2.074,transient,negative_control_intermediate,15,O3,True,1
124.012,156.158,118.424,15.842,27.918,15.683,83.643,102.451,113.993,5.062,5.12,4.514,3.588,4.7,3.528,-4.505,1.782,1.788,5.369,3.954,5.426,4.012,4.82,3.406,3.895,2.481,5.007,3.593,3.835,2.42,-4.198,-5.612,2.088,0.674,2.095,0.681,43.843,44.926,-0.307,1.108,transient,negative_control_intermediate,17,O3,True,1
36.721,137.678,40.591,-29.298,-48.883,-29.66,58.231,28.528,47.944,-84.043,-12.646,-74.937,-43.112,-73.761,-43.362,-32.251,-73.4,-64.527,-60.147,-70.166,11.25,1.231,-51.041,-61.06,-19.216,-29.235,-49.865,-59.884,-19.465,-29.484,-8.354,-18.373,-49.504,-59.523,-40.63,-50.649,17.605,29.76,-23.896,-13.877,transient,transient_reprogramming_intermediate,10,O3,False,1
52.223,144.75,54.412,-15.307,-38.06,-14.753,57.564,39.339,55.995,-68.51,-6.513,-61.087,-29.523,-63.887,-28.56,-32.221,-63.352,-58.139,-46.308,-50.831,15.689,11.166,-38.885,-43.408,-7.322,-11.844,-41.685,-46.208,-6.358,-10.881,-10.019,-14.542,-41.15,-45.673,-35.937,-40.46,16.681,25.947,-22.202,-17.679,transient,transient_reprogramming_intermediate,13,O3,False,1
50.676,145.12,53.033,-13.826,-40.706,-12.876,56.321,38.892,55.784,-65.175,-4.584,-58.114,-23.726,-62.596,-22.239,-32.675,-59.749,-56.099,-38.832,-47.698,21.76,12.894,-31.77,-40.636,2.618,-6.248,-36.253,-45.119,4.105,-4.761,-6.331,-15.197,-33.406,-42.272,-29.756,-38.621,16.789,24.545,-26.343,-17.478,transient,transient_reprogramming_intermediate,15,O3,False,1
100.376,139.141,97.348,0.64,5.344,0.958,85.738,87.754,106.122,-20.389,-11.183,-18.18,-13.174,-19.534,-12.744,-4.744,-14.175,-6.348,-17.211,-21.793,-8.005,-12.588,-15.002,-19.584,-9.996,-14.579,-16.356,-20.939,-9.565,-14.148,-1.565,-6.148,-10.996,-15.579,-3.17,-7.753,38.323,45.041,-3.178,1.404,transient,transiently_reprogrammed,10,O3,False,1
91.832,142.331,89.731,-10.634,-4.151,-9.755,83.747,80.708,103.688,-28.9,-8.932,-25.769,-24.85,-29.978,-23.562,-6.038,-21.984,-10.446,-9.218,-21.244,10.75,-1.276,-6.087,-18.113,-5.169,-17.194,-10.297,-22.322,-3.881,-15.906,13.643,1.618,-2.303,-14.328,9.236,-2.79,19.202,35.97,-19.681,-7.656,transient,transiently_reprogrammed,13,O3,False,2
123.996,148.238,118.409,17.407,27.509,17.374,94.605,106.728,117.875,8.145,-1.465,7.262,7.508,5.618,8.011,5.61,8.087,5.993,12.452,10.77,2.842,1.16,11.57,9.888,11.816,10.134,9.926,8.244,12.318,10.636,9.917,8.235,12.395,10.712,10.3,8.618,38.825,39.397,-4.308,-2.625,transient,transiently_reprogrammed,15,O3,False,2
84.426,145.94,83.127,-15.012,-9.98,-14.362,80.623,73.793,96.164,-34.524,-5.098,-30.783,-27.266,-33.197,-26.516,-7.525,-26.876,-16.041,-28.805,-52.417,0.621,-22.991,-25.064,-48.676,-21.547,-45.159,-27.479,-51.091,-20.798,-44.41,-1.806,-25.418,-21.158,-44.77,-10.322,-33.934,38.431,61.712,-5.718,17.893,transient,transiently_reprogrammed,17,O3,False,2
114.419,141.249,109.87,7.067,7.146,13.798,60.219,86.211,87.761,,,,,,,,,,76.014,61.602,102.845,88.433,71.465,57.053,-31.337,-45.749,-31.258,-45.671,-24.606,-39.018,21.814,7.402,47.807,33.395,49.357,34.945,38.404,52.816,,,sendai,CD13,d11,O1,False,2
77.026,146.218,76.529,8.988,9.361,2.089,63.53,51.596,61.026,,,,,,,,,,41.14,30.967,110.332,100.159,40.642,30.47,-26.898,-37.071,-26.526,-36.699,-33.797,-43.97,27.643,17.47,15.709,5.537,25.14,14.967,35.886,46.059,,,sendai,SSEA4,d11,O1,False,2
151.103,159.713,142.579,34.186,35.046,41.766,70.007,112.813,113.768,,,,,,,,,,110.166,97.523,118.775,106.133,101.642,89.0,-6.752,-19.394,-5.891,-18.533,0.828,-11.814,29.07,16.428,71.875,59.233,72.83,60.188,40.938,53.58,,,sendai,CD13,d15,O1,False,1
77.432,146.895,76.89,5.751,1.006,8.303,60.445,48.092,55.042,,,,,,,,,,73.774,72.899,143.237,142.362,73.232,72.357,2.093,1.218,-2.652,-3.527,4.645,3.77,56.788,55.912,44.435,43.56,51.384,50.509,3.658,4.533,,,sendai,SSEA4,d15,O1,False,1
124.551,155.297,118.904,17.013,18.953,20.455,71.431,92.859,100.731,,,,,,,,,,90.483,81.767,121.229,112.513,84.836,76.12,-17.055,-25.771,-15.114,-23.831,-13.613,-22.329,37.363,28.647,58.791,50.075,66.663,57.947,34.068,42.784,,,sendai,CD13,d11,O2,False,2
71.278,142.152,71.403,1.381,5.237,-10.111,65.559,48.055,61.683,,,,,,,,,,24.904,13.51,95.778,84.385,25.029,13.636,-44.993,-56.386,-41.137,-52.53,-56.485,-67.878,19.184,7.791,1.681,-9.712,15.309,3.916,46.374,57.767,,,sendai,SSEA4,d11,O2,False,2
144.629,163.34,136.806,34.357,37.201,36.575,68.41,107.24,106.683,,,,,,,,,,99.774,85.795,118.485,104.506,91.952,77.973,-10.498,-24.477,-7.654,-21.633,-8.28,-22.259,23.555,9.576,62.385,48.406,61.828,47.85,44.855,58.834,,,sendai,CD13,d15,O2,False,1
74.475,142.785,74.253,3.258,-3.159,8.404,63.486,47.325,57.548,,,,,,,,,,72.287,72.181,140.598,140.492,72.066,71.96,1.07,0.965,-5.346,-5.452,6.217,6.111,61.299,61.193,45.138,45.032,55.36,55.255,2.187,2.293,,,sendai,SSEA4,d15,O2,False,1
88.814,147.524,87.039,4.446,7.532,-1.132,67.085,60.398,62.858,,,,,,,,,,44.867,29.919,103.577,88.629,43.093,28.144,-39.5,-54.449,-36.415,-51.363,-45.079,-60.027,23.139,8.19,16.451,1.503,18.911,3.963,43.947,58.895,,,sendai,CD13,d9,O2,False,1
101.921,103.987,98.726,-4.705,-6.534,5.283,71.504,80.798,74.888,,,,,,,,,,68.297,49.315,70.363,51.381,65.102,46.12,-38.329,-57.311,-40.158,-59.14,-28.342,-47.323,37.88,18.898,47.173,28.192,41.264,22.282,33.624,52.606,,,sendai,SSEA4,d9,O2,False,1
105.622,146.147,102.026,-2.804,-2.253,3.935,74.894,83.61,96.834,,,,,,,,,,69.584,74.426,110.11,114.951,65.988,70.83,-38.841,-33.999,-38.29,-33.448,-32.102,-27.26,38.856,43.698,47.572,52.414,60.797,65.639,36.037,31.195,,,sendai,CD13,d11,Y1,False,2
71.001,145.369,71.156,-7.068,-5.659,-11.621,65.927,48.866,63.079,,,,,,,,,,50.872,44.033,125.241,118.402,51.028,44.189,-27.196,-34.035,-25.787,-32.626,-31.75,-38.588,45.798,38.96,28.738,21.899,42.95,36.112,20.128,26.967,,,sendai,SSEA4,d11,Y1,False,2
109.77,145.067,105.725,-6.297,-7.229,5.477,83.721,90.241,104.15,,,,,,,,,,73.872,74.313,109.169,109.609,69.827,70.267,-42.195,-41.755,-43.127,-42.687,-30.421,-29.98,47.823,48.263,54.343,54.783,68.252,68.692,35.898,35.458,,,sendai,CD13,d15,Y1,False,1
79.806,149.047,79.007,1.644,-4.505,8.744,65.632,51.106,62.597,,,,,,,,,,77.869,77.845,147.111,147.086,77.071,77.046,-0.293,-0.318,-6.442,-6.467,6.807,6.782,63.696,63.671,49.169,49.144,60.66,60.635,1.937,1.962,,,sendai,SSEA4,d15,Y1,False,1
63.209,147.1,64.209,-20.078,-16.159,-26.345,62.176,40.697,52.966,,,,,,,,,,29.284,35.862,113.175,119.753,30.284,36.862,-54.003,-47.425,-50.084,-43.506,-60.27,-53.692,28.251,34.829,6.772,13.35,19.042,25.619,33.925,27.347,,,sendai,CD13,d9,Y1,False,1
135.515,156.578,128.68,37.484,45.965,26.569,78.277,107.076,112.299,,,,,,,,,,103.302,109.216,124.365,130.279,96.467,102.381,5.271,11.184,13.752,19.666,-5.644,0.27,46.064,51.978,74.863,80.777,80.086,86.0,32.213,26.299,,,sendai,SSEA4,d9,Y1,False,1
132.667,160.73,126.141,24.01,27.782,24.638,75.067,101.529,109.161,,,,,,,,,,96.56,96.815,124.624,124.878,90.034,90.289,-12.097,-11.842,-8.324,-8.069,-11.469,-11.214,38.96,39.215,65.422,65.677,73.055,73.31,36.106,35.852,,,sendai,CD13,d11,Y2,False,2
85.819,147.922,84.369,6.509,6.597,3.913,63.589,58.861,68.435,,,,,,,,,,68.283,68.037,130.385,130.139,66.832,66.587,-11.028,-11.273,-10.94,-11.185,-13.624,-13.869,46.053,45.807,41.324,41.079,50.898,50.652,17.537,17.782,,,sendai,SSEA4,d11,Y2,False,2
137.795,160.992,130.713,24.584,27.199,28.538,74.193,106.403,113.134,,,,,,,,,,112.959,107.667,136.156,130.864,105.877,100.585,-0.252,-5.545,2.363,-2.93,3.703,-1.59,49.357,44.064,81.567,76.274,88.298,83.006,24.836,30.128,,,sendai,CD13,d15,Y2,False,1
79.371,150.168,78.619,9.088,2.62,13.769,63.906,53.12,66.678,,,,,,,,,,79.119,79.472,149.916,150.269,78.367,78.72,8.837,9.19,2.369,2.722,13.518,13.87,63.655,64.008,52.869,53.222,66.426,66.779,0.251,-0.101,,,sendai,SSEA4,d15,Y2,False,1
87.047,150.065,85.464,4.496,9.75,-5.124,62.252,59.296,61.992,,,,,,,,,,48.569,52.265,111.586,115.283,46.985,50.682,-33.982,-30.285,-28.728,-25.032,-43.602,-39.905,23.774,27.471,20.818,24.514,23.513,27.21,38.478,34.782,,,sendai,CD13,d9,Y2,False,1
132.253,159.676,125.771,29.947,36.418,23.946,58.258,97.915,94.293,,,,,,,,,,111.08,99.054,138.503,126.477,104.598,92.572,8.774,-3.252,15.245,3.219,2.773,-9.253,37.085,25.059,76.742,64.716,73.12,61.094,21.173,33.199,,,sendai,SSEA4,d9,Y2,False,1
