ACTUAL_rna_age_covnorm,ACTUAL_rna_age_ranknorm,ACTUAL_rna_age_raw,ACTUAL_rna_age_resid_both,ACTUAL_rna_age_resid_cc,ACTUAL_rna_age_resid_pluri,ACTUAL_rna_age_top100,ACTUAL_rna_age_top2000,ACTUAL_rna_age_top500,ACTUAL_rna_dage_covnorm,ACTUAL_rna_dage_ranknorm,ACTUAL_rna_dage_raw,ACTUAL_rna_dage_resid_both,ACTUAL_rna_dage_resid_cc,ACTUAL_rna_dage_resid_pluri,ACTUAL_rna_dage_top100,ACTUAL_rna_dage_top2000,ACTUAL_rna_dage_top500,ERROR_covnorm_mt,ERROR_covnorm_sb,ERROR_ranknorm_mt,ERROR_ranknorm_sb,ERROR_raw_mt,ERROR_raw_sb,ERROR_resid_both_mt,ERROR_resid_both_sb,ERROR_resid_cc_mt,ERROR_resid_cc_sb,ERROR_resid_pluri_mt,ERROR_resid_pluri_sb,ERROR_top100_mt,ERROR_top100_sb,ERROR_top2000_mt,ERROR_top2000_sb,ERROR_top500_mt,ERROR_top500_sb,TRUTH_meth_age_mt,TRUTH_meth_age_sb,TRUTH_meth_dage_mt,TRUTH_meth_dage_sb,arm_set,condition,day,donor,is_control,n_replicates
106.254,153.703,102.59,0.097,10.851,0.314,83.253,87.973,104.664,0.169,6.076,0.151,-0.454,0.465,-0.551,-1.208,-2.398,-0.378,0.094,-1.589,6.001,4.318,0.076,-1.607,-0.529,-2.212,0.389,-1.294,-0.627,-2.31,-1.283,-2.966,-2.473,-4.156,-0.453,-2.136,42.034,49.392,0.075,1.758,transient,negative_control_intermediate,10,O1,True,1
116.964,153.052,112.139,9.881,23.293,9.216,80.466,96.173,109.588,10.465,6.077,9.332,8.849,10.907,8.366,-0.794,5.874,4.698,14.346,9.357,9.958,4.969,13.212,8.223,12.729,7.74,14.788,9.798,12.247,7.258,3.086,-1.903,9.754,4.765,8.578,3.589,38.369,48.8,-3.881,1.109,transient,negative_control_intermediate,13,O1,True,1
108.366,154.675,104.473,2.329,15.405,1.732,77.884,89.814,105.764,6.443,5.704,5.745,5.297,6.918,4.937,-1.948,2.902,3.48,10.423,5.9,9.684,5.161,9.725,5.202,9.276,4.753,10.898,6.375,8.917,4.394,2.032,-2.491,6.882,2.358,7.46,2.937,39.082,49.541,-3.98,0.543,transient,negative_control_intermediate,15,O1,True,1
109.116,154.653,105.142,2.822,14.99,2.555,76.7,89.937,105.779,3.608,5.68,3.217,2.764,4.387,2.405,-3.391,0.288,1.176,6.535,4.271,8.607,6.344,6.144,3.88,5.691,3.427,7.314,5.051,5.332,3.068,-0.464,-2.727,3.215,0.952,4.103,1.839,40.927,50.538,-2.927,-0.664,transient,negative_control_intermediate,17,O1,True,1
34.235,140.153,38.374,-30.337,-51.313,-30.629,55.184,26.278,45.74,-71.85,-7.474,-64.065,-30.887,-61.699,-31.495,-29.276,-64.092,-59.302,-52.231,-61.059,12.145,3.317,-44.446,-53.274,-11.268,-20.096,-42.081,-50.908,-11.876,-20.704,-9.657,-18.485,-44.473,-53.301,-39.683,-48.511,22.34,36.843,-19.619,-10.791,transient,transient_reprogramming_intermediate,10,O1,False,1
50.386,145.174,52.775,-12.86,-39.874,-12.237,54.856,37.11,52.866,-56.112,-1.801,-50.032,-13.892,-52.259,-13.087,-26.404,-53.19,-52.024,-31.616,-40.365,22.695,13.946,-25.537,-34.285,10.604,1.855,-27.764,-36.512,11.408,2.66,-1.908,-10.657,-28.694,-37.442,-27.529,-36.277,17.754,31.944,-24.496,-15.747,transient,transient_reprogramming_intermediate,13,O1,False,1
46.713,145.614,49.5,-14.529,-43.849,-13.688,55.615,35.203,53.003,-55.21,-3.356,-49.228,-11.562,-52.336,-10.483,-24.218,-51.709,-49.281,-29.869,-30.356,21.984,21.497,-23.888,-24.374,13.778,13.292,-26.996,-27.483,14.857,14.37,1.123,0.636,-26.369,-26.856,-23.94,-24.427,17.722,24.144,-25.34,-24.854,transient,transient_reprogramming_intermediate,15,O1,False,1
46.59,146.335,49.39,-18.02,-44.726,-16.956,58.431,37.112,55.337,-58.919,-2.638,-52.535,-18.078,-55.328,-17.107,-21.66,-52.537,-49.266,-26.004,-25.718,30.277,30.562,-19.62,-19.334,14.836,15.122,-22.413,-22.128,15.808,16.093,11.255,11.541,-19.622,-19.337,-16.352,-16.066,10.939,18.001,-32.915,-33.201,transient,transient_reprogramming_intermediate,17,O1,False,1
68.444,137.724,68.876,-32.819,-21.732,-32.944,81.85,61.737,89.831,-37.641,-9.902,-33.562,-33.37,-32.118,-33.81,-2.611,-28.634,-15.211,-31.729,-47.711,-3.99,-19.972,-27.65,-43.633,-27.458,-43.44,-26.206,-42.189,-27.898,-43.88,3.301,-12.681,-22.722,-38.704,-9.299,-25.281,36.046,57.704,-5.912,10.07,transient,transiently_reprogrammed,10,O1,False,1
63.23,143.508,64.227,-35.027,-28.165,-34.599,74.15,56.672,82.227,-42.279,-5.465,-37.698,-35.085,-38.768,-34.749,-5.941,-32.977,-22.376,-40.209,-5.294,-3.395,31.52,-35.628,-0.713,-33.015,1.9,-36.698,-1.783,-32.679,2.236,-3.871,31.044,-30.907,4.008,-20.306,14.609,41.784,14.216,-2.07,-36.985,transient,transiently_reprogrammed,17,O1,False,1
