clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4,pred_W5
L100162,Acid,2,0,0.4723002644704608,0.3123280499487586,0.3720003489370704,0.6195986035498704,0.2536232946280952,0.3283351528494846
L100162,Cisplatin,2,0,0.2026102523734454,0.0888965001766363,0.3720003489370704,0.2903138541297287,0.0671300225624519,0.0734522840857613
L100162,CoCl2,2,0,0.2266829195508383,0.10414634088636,0.3720003489370704,0.3227080127013291,0.0791011475725965,0.13046714216054112
L100162,Dabrafenib,2,0,0.2266829195508383,0.1041463408863601,0.3720003489370704,0.3227080127013293,0.0791011475725965,0.03323451436890725
L100162,Doxorubicin,2,0,0.2819646373115759,0.142795584893713,0.3720003489370704,0.3950368763686877,0.1101719756044021,0.13384836529493188
L100162,Trametinib,2,0,0.194586034559209,0.0840199282215226,0.3720003489370704,0.2794009166227346,0.0633434295991417,0.0365756347662169
L100615,Acid,0,0,0.4736194759800148,0.6303847650381779,0.3135713328376651,0.546064808104734,0.6082155338505646,0.6541259824971829
L100615,Cisplatin,0,0,0.1858364208706426,0.2428523681013637,0.3135713328376651,0.2152361485755825,0.2193621195247201,0.24573579479469884
L100615,CoCl2,0,0,0.2286700743638336,0.3058039928536218,0.3135713328376651,0.2656890703883256,0.2796902768446109,0.2127405206226653
L100615,Dabrafenib,0,0,0.2447349983810882,0.3293891716958623,0.3135713328376651,0.284661319553084,0.3026510083815577,0.24786048010260184
L100615,Doxorubicin,0,1,0.2866788719209133,0.3899771015393171,0.3135713328376651,0.3342211702957718,0.3628469286842952,0.39289262084418075
L100615,Trametinib,0,0,0.2036838670412842,0.2690947079774682,0.3135713328376651,0.236224473949279,0.2442905439764614,0.17002459927279925
L100688,Acid,1,1,0.4758727382102801,0.4158230698941236,0.2890544847403716,0.5169155230544447,0.4160802601161648,0.3374569183678404
L100688,Cisplatin,1,0,0.1945871959380825,0.1278311601185779,0.2890544847403716,0.2026188568414608,0.1195446185468067,0.0809311243025186
L100688,CoCl2,1,0,0.2356004453330165,0.1644139361003428,0.2890544847403716,0.2477606134284039,0.1553162764089293,0.2828216381514484
L100688,Dabrafenib,1,1,0.2320338480452489,0.1611167897031677,0.2890544847403716,0.2438031046849504,0.1520678577113451,0.14913422520739447
L100688,Doxorubicin,1,0,0.2997994308885851,0.2270276463322885,0.2890544847403716,0.319878675454928,0.21801699666486,0.2637134863243364
L100688,Trametinib,1,1,0.1972621510625855,0.1301330671248022,0.2890544847403716,0.2055369524660036,0.1217699166894491,0.09567614563387644
L100742,Acid,0,0,0.4736194759800148,0.2846693786920213,0.0743549370103689,0.1623000602381924,0.2877563849404134,0.09200310993120885
L100742,Cisplatin,0,0,0.1858364208706426,0.06962987611271,0.0743549370103689,0.0423042167693335,0.0681468226243836,0.05053074166885517
L100742,CoCl2,0,0,0.2286700743638336,0.0932067590000554,0.0743549370103689,0.0550649820352911,0.0917775449048409,0.03388598034957735
L100742,Dabrafenib,0,0,0.2447349983810882,0.102824000340023,0.0743549370103689,0.0602306939135578,0.1014853217992356,0.2229567520070359
L100742,Doxorubicin,0,0,0.2866788719209133,0.1298040178991264,0.0743549370103689,0.0748028463214076,0.129076139671946,0.12326049185354891
L100742,Trametinib,0,0,0.2036838670412842,0.0791097509577917,0.0743549370103689,0.0474490194789923,0.0775992553881017,0.19030025771330147
L100814,Acid,0,1,0.4736194759800148,0.8794454425867445,0.3409578995079015,0.5779734208292739,0.8793161778977414,0.8923756471969218
L100814,Cisplatin,0,1,0.1858364208706426,0.5784019748394237,0.3409578995079015,0.2379465380985425,0.5687530626230718,0.6648803850932818
L100814,CoCl2,0,0,0.2286700743638336,0.6532852136396639,0.3409578995079015,0.2917438829972519,0.6456916611997434,0.5925130543235495
L100814,Dabrafenib,0,1,0.2447349983810882,0.6775143888654733,0.3409578995079015,0.3117866766865197,0.6707208933899956,0.6037923075556176
L100814,Doxorubicin,0,1,0.2866788719209133,0.7322195235188256,0.3409578995079015,0.3636682012290336,0.7277276711299713,0.7593315523694325
L100814,Trametinib,0,1,0.2036838670412842,0.6116137944563584,0.3409578995079015,0.2604145470897584,0.602730261575966,0.5754115865165915
L101216,Acid,1,1,0.4758727382102801,0.4172781131200817,0.2335474624787344,0.4410181995453536,0.3183779118222916,0.26923748418999544
L101216,Cisplatin,1,0,0.1945871959380825,0.1285001353508123,0.2335474624787344,0.1577952537566501,0.0817277353462689,0.07645420658305972
L101216,CoCl2,1,0,0.2356004453330165,0.1652380879475498,0.2335474624787344,0.1953978349690805,0.1075658347667975,0.027770553324140815
L101216,Dabrafenib,1,0,0.2320338480452489,0.1619276169125846,0.2335474624787344,0.1920631725321576,0.1051917388003415,0.1419408254453495
L101216,Doxorubicin,1,1,0.2997994308885851,0.2280799886407108,0.2335474624787344,0.257491403780329,0.1545160887188314,0.13037972858447047
L101216,Trametinib,1,0,0.1972621510625855,0.13081228206688,0.2335474624787344,0.160197497424972,0.083315693766345,0.09665691900436736
L101260,Acid,4,1,0.4785299066468458,0.5848915139737458,0.2637073635237354,0.491555753708612,0.6176793422999638,0.49340079327856606
L101260,Cisplatin,4,0,0.1981548358322619,0.2235701198548117,0.2637073635237354,0.1891862528280438,0.2406062773001388,0.2465466217440765
L101260,CoCl2,4,0,0.2293600697046259,0.2650402307610821,0.2637073635237354,0.2214559913842669,0.285003821418568,0.17234860679141328
L101260,Dabrafenib,4,1,0.2240101926936385,0.2578908613459247,0.2637073635237354,0.2158774522391975,0.2773497951574156,0.3932439713894748
L101260,Doxorubicin,4,1,0.2891002187573746,0.3451904959541029,0.2637073635237354,0.2849603836387903,0.3708194494439755,0.35449756081761985
L101260,Trametinib,4,1,0.191021945485207,0.2141718800980559,0.2637073635237354,0.1819048557215654,0.2305667564603674,0.3347756155596733
L102089,Acid,0,1,0.4736194759800148,0.2846693786920213,0.2940150869858899,0.5214465884597104,0.3696027286472834,0.3775226491125597
L102089,Cisplatin,0,0,0.1858364208706426,0.06962987611271,0.2940150869858899,0.1989943993090485,0.0959440146272593,0.12264134616702721
L102089,CoCl2,0,0,0.2286700743638336,0.0932067590000554,0.2940150869858899,0.2468376388872054,0.1278908525248004,0.08130894624444339
L102089,Dabrafenib,0,0,0.2447349983810882,0.102824000340023,0.2940150869858899,0.2649494553426766,0.1408262170963716,0.15502449591045733
L102089,Doxorubicin,0,1,0.2866788719209133,0.1298040178991264,0.2940150869858899,0.3125770458528923,0.177005631184991,0.16395331331873786
L102089,Trametinib,0,0,0.2036838670412842,0.0791097509577917,0.2940150869858899,0.2188405989241755,0.108801927130509,0.11653993133608498
L102444,Acid,2,1,0.4723002644704608,0.6558774992811683,0.3789144599247545,0.6268032468245038,0.6526716978740882,0.6150550781599076
L102444,Cisplatin,2,0,0.2026102523734454,0.2905015156662419,0.3789144599247545,0.2966757644026225,0.2846624784665537,0.2785981404682892
L102444,CoCl2,2,1,0.2266829195508383,0.3278895491695717,0.3789144599247545,0.3294502640691221,0.3220342937616673,0.3803376476339724
L102444,Dabrafenib,2,0,0.2266829195508383,0.3278895491695718,0.3789144599247545,0.3294502640691223,0.3220342937616674,0.3070338501058271
L102444,Doxorubicin,2,0,0.2819646373115759,0.4114369858772221,0.3789144599247545,0.4023924727917929,0.4064159948410248,0.39047928464304155
L102444,Trametinib,2,0,0.194586034559209,0.2779393054784328,0.3789144599247545,0.28561992802512,0.2721857060491435,0.23499378240525393
L102484,Acid,2,1,0.4723002644704608,0.2879810790401368,0.2398239318649122,0.4565610564299103,0.3503874880026289,0.2971994983587753
L102484,Cisplatin,2,0,0.2026102523734454,0.0799419805856406,0.2398239318649122,0.1742357570777993,0.1025147043771972,0.13274966985049058
L102484,CoCl2,2,0,0.2266829195508383,0.0938138784504659,0.2398239318649122,0.1972780364290927,0.1199842989251006,0.08959335478566584
L102484,Dabrafenib,2,1,0.2266829195508383,0.0938138784504659,0.2398239318649122,0.1972780364290928,0.1199842989251006,0.09011259671945233
