clone_id,treatment,n_naive_cells,naive_pooled_fraction,n_post_cells,post_fraction,post_rank,post_rank_fraction,post_tie_size,detected_post,outcome_observation_status,treatment_sample_available,treatment_total_assigned_cells,naive_source_samples,outer_group,outer_fold
L100742,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L100742,0
L100742,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L100742,0
L100742,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive3,L100742,0
L100814,Acid,20,0.00308214,24,0.00331217,59,0.04211278,5,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L100814,0
L100814,Cisplatin,20,0.00308214,3,0.00044021,37,0.02640971,23,True,observed_nonzero,True,6815,Naive1|Naive2|Naive3,L100814,0
L100814,CoCl2,20,0.00308214,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L100814,0
L100814,Dabrafenib,20,0.00308214,9,0.00146009,62,0.0442541,7,True,observed_nonzero,True,6164,Naive1|Naive2|Naive3,L100814,0
L100814,Doxorubicin,20,0.00308214,10,0.00353107,23,0.01641685,4,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L100814,0
L100814,Trametinib,20,0.00308214,3,0.00037078,100,0.07137759,24,True,observed_nonzero,True,8091,Naive1|Naive2|Naive3,L100814,0
L101216,Acid,2,0.00030821,1,0.00013801,487,0.34760885,179,True,observed_nonzero,True,7246,Naive2,L101216,1
L101216,Cisplatin,2,0.00030821,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2,L101216,1
L101216,CoCl2,2,0.00030821,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2,L101216,1
L101216,Dabrafenib,2,0.00030821,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive2,L101216,1
L101216,Doxorubicin,2,0.00030821,1,0.00035311,218,0.15560314,188,True,observed_nonzero,True,2832,Naive2,L101216,1
L101216,Trametinib,2,0.00030821,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive2,L101216,1
L101260,Acid,4,0.00061643,1,0.00013801,487,0.34760885,179,True,observed_nonzero,True,7246,Naive2|Naive3,L101260,4
L101260,Cisplatin,4,0.00061643,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2|Naive3,L101260,4
L101260,CoCl2,4,0.00061643,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2|Naive3,L101260,4
L101260,Dabrafenib,4,0.00061643,2,0.00032446,135,0.09635974,47,True,observed_nonzero,True,6164,Naive2|Naive3,L101260,4
