clone_id,outer_fold,nuisance_log1p(n_naive_cells),nuisance_log1p(n_naive1_cells),nuisance_log1p(n_naive2_cells),nuisance_log1p(n_naive3_cells),expected_pred_W5_Acid,expected_pred_W5_Cisplatin,expected_pred_W5_CoCl2,expected_pred_W5_Dabrafenib,expected_pred_W5_Doxorubicin,expected_pred_W5_Trametinib
L100162,2,0.6931471805599453,0.6931471805599453,0.0,0.0,0.3283351528494846,0.0734522840857613,0.1304671421605411,0.0332345143689072,0.1338483652949318,0.0365756347662169
L100615,0,1.791759469228055,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6541259824971829,0.2457357947946988,0.2127405206226653,0.2478604801026018,0.3928926208441807,0.1700245992727992
L100688,1,1.0986122886681098,0.0,0.0,1.0986122886681098,0.3374569183678404,0.0809311243025186,0.2828216381514484,0.1491342252073944,0.2637134863243364,0.0956761456338764
