clone_id,treatment,outer_fold,y,pred_W1,pred_W4,pred_W5,detected_post,ranking_eligible
L100162,Acid,2,0,0.3123280499487586,0.2536232946280952,0.3283351528494846,False,False
L100162,Cisplatin,2,0,0.0888965001766363,0.0671300225624519,0.0734522840857613,False,False
L100162,CoCl2,2,0,0.10414634088636,0.0791011475725965,0.1304671421605411,False,False
L100162,Dabrafenib,2,0,0.1041463408863601,0.0791011475725965,0.0332345143689072,False,False
L100162,Doxorubicin,2,0,0.142795584893713,0.1101719756044021,0.1338483652949318,False,False
L100162,Trametinib,2,0,0.0840199282215226,0.0633434295991417,0.0365756347662169,False,False
L100615,Acid,0,0,0.6303847650381779,0.6082155338505646,0.6541259824971829,False,True
L100615,Cisplatin,0,0,0.2428523681013637,0.2193621195247201,0.2457357947946988,False,True
L100615,CoCl2,0,0,0.3058039928536218,0.2796902768446109,0.2127405206226653,False,True
L100615,Dabrafenib,0,0,0.3293891716958623,0.3026510083815577,0.2478604801026018,False,True
L100615,Doxorubicin,0,1,0.3899771015393171,0.3628469286842952,0.3928926208441807,True,True
L100615,Trametinib,0,0,0.2690947079774682,0.2442905439764614,0.1700245992727992,False,True
L100688,Acid,1,1,0.4158230698941236,0.4160802601161648,0.3374569183678404,True,True
L100688,Cisplatin,1,0,0.1278311601185779,0.1195446185468067,0.0809311243025186,False,True
L100688,CoCl2,1,0,0.1644139361003428,0.1553162764089293,0.2828216381514484,False,True
L100688,Dabrafenib,1,1,0.1611167897031677,0.1520678577113451,0.1491342252073944,True,True
L100688,Doxorubicin,1,0,0.2270276463322885,0.21801699666486,0.2637134863243364,False,True
L100688,Trametinib,1,1,0.1301330671248022,0.1217699166894491,0.0956761456338764,True,True
L100742,Acid,0,0,0.2846693786920213,0.2877563849404134,0.0920031099312088,False,False
L100742,Cisplatin,0,0,0.06962987611271,0.0681468226243836,0.0505307416688551,False,False
L100742,CoCl2,0,0,0.0932067590000554,0.0917775449048409,0.0338859803495773,False,False
L100742,Dabrafenib,0,0,0.102824000340023,0.1014853217992356,0.2229567520070359,False,False
L100742,Doxorubicin,0,0,0.1298040178991264,0.129076139671946,0.1232604918535489,False,False
L100742,Trametinib,0,0,0.0791097509577917,0.0775992553881017,0.1903002577133014,False,False
L100814,Acid,0,1,0.8794454425867445,0.8793161778977414,0.8923756471969218,True,True
L100814,Cisplatin,0,1,0.5784019748394237,0.5687530626230718,0.6648803850932818,True,True
L100814,CoCl2,0,0,0.6532852136396639,0.6456916611997434,0.5925130543235495,False,True
L100814,Dabrafenib,0,1,0.6775143888654733,0.6707208933899956,0.6037923075556176,True,True
L100814,Doxorubicin,0,1,0.7322195235188256,0.7277276711299713,0.7593315523694325,True,True
L100814,Trametinib,0,1,0.6116137944563584,0.602730261575966,0.5754115865165915,True,True
L101216,Acid,1,1,0.4172781131200817,0.3183779118222916,0.2692374841899954,True,True
L101216,Cisplatin,1,0,0.1285001353508123,0.0817277353462689,0.0764542065830597,False,True
L101216,CoCl2,1,0,0.1652380879475498,0.1075658347667975,0.0277705533241408,False,True
L101216,Dabrafenib,1,0,0.1619276169125846,0.1051917388003415,0.1419408254453495,False,True
L101216,Doxorubicin,1,1,0.2280799886407108,0.1545160887188314,0.1303797285844704,True,True
L101216,Trametinib,1,0,0.13081228206688,0.083315693766345,0.0966569190043673,False,True
L101260,Acid,4,1,0.5848915139737458,0.6176793422999638,0.493400793278566,True,True
L101260,Cisplatin,4,0,0.2235701198548117,0.2406062773001388,0.2465466217440765,False,True
L101260,CoCl2,4,0,0.2650402307610821,0.285003821418568,0.1723486067914132,False,True
L101260,Dabrafenib,4,1,0.2578908613459247,0.2773497951574156,0.3932439713894748,True,True
L101260,Doxorubicin,4,1,0.3451904959541029,0.3708194494439755,0.3544975608176198,True,True
L101260,Trametinib,4,1,0.2141718800980559,0.2305667564603674,0.3347756155596733,True,True
L102089,Acid,0,1,0.2846693786920213,0.3696027286472834,0.3775226491125597,True,True
L102089,Cisplatin,0,0,0.06962987611271,0.0959440146272593,0.1226413461670272,False,True
L102089,CoCl2,0,0,0.0932067590000554,0.1278908525248004,0.0813089462444433,False,True
L102089,Dabrafenib,0,0,0.102824000340023,0.1408262170963716,0.1550244959104573,False,True
L102089,Doxorubicin,0,1,0.1298040178991264,0.177005631184991,0.1639533133187378,True,True
L102089,Trametinib,0,0,0.0791097509577917,0.108801927130509,0.1165399313360849,False,True
L102444,Acid,2,1,0.6558774992811683,0.6526716978740882,0.6150550781599076,True,True
L102444,Cisplatin,2,0,0.2905015156662419,0.2846624784665537,0.2785981404682892,False,True
L102444,CoCl2,2,1,0.3278895491695717,0.3220342937616673,0.3803376476339724,True,True
L102444,Dabrafenib,2,0,0.3278895491695718,0.3220342937616674,0.3070338501058271,False,True
